sentiment,clean_text
neutral,respond go
negative,sad
negative,leav alon
negative,son
neutral,plug best earth
positive,fun
neutral,soooo high
positive,wow
neutral,much love hope chanc never go get cake stuff
positive,like
negative,danger
negative,lost
neutral,test test
negative,uh oh sunburn
negative,sigh
negative,sick
neutral,hes
neutral,oh sorri hope find soon
positive,interest
neutral,clean hous famili com later today
neutral,got comput thought suppos put end constant
neutral,see wat mean bout call lose friday smh
positive,free app ipod fun addict
negative,sorri
negative,internet
positive,fun
negative,power back work
positive,hope
negative,well much unhappi minut
positive,funni
neutral,ahhh slept game go tri best watch tomorrow though hope play
neutral,end tear fear
negative,miss
neutral,case wonder realli busi today come ad ton new blog updat stay tune
negative,soooooo
positive,littl happi fo
neutral,car happi big big boot hope go write cross finger wait
positive,fan
neutral,rock thing suck like still fun show bad boy look
positive,love
neutral,girl hair ask old feel
neutral,visit friendster facebook
negative,like go
negative,thrill mine
neutral,check connect tweepl hate twitter
neutral,also bore school third
neutral,hm guess
negative,past day
positive,zero funni
neutral,rather earli morn
negative,hurt
neutral,back later
negative,ace heart
neutral,fun speak
negative,lost friend alon sleepi
neutral,haha yes
negative,give
positive,favorit
negative,jealous
positive,awesom
neutral,yay play show tonight boo go work right play
neutral,know let know
neutral,still smell smoke
positive,better
neutral,anyon extra ticket promis buy drink take pic fb blog etc
neutral,ride one catch one summer til pop open one
neutral,good yea kno ask yesterday tha hospit talk said
neutral,ok pop say hi check thing ill probabl head later tonight
neutral,say
negative,tire
neutral,hey chang twitter account even tell
positive,thank
positive,lucki
neutral,fell asleep wait ride
negative,sick
negative,sorri guy
positive,happi star war day everyon enjoy holiday uk
neutral,mile give plenti warn arriv time get least one free beer
neutral,annoy keep sleep like right lol honest wud miss left love
negative,miss
positive,cool
positive,love
neutral,yes last way past bedtim
neutral,hi join twitter
negative,tire
neutral,eat ice cream get readi graduat
positive,happi mother day mum
negative,freak
negative,unfortun
neutral,go read stori bout adam onlin bed nighti night
positive,best
positive,pretti
neutral,certain cheer huh
negative,horribl
negative,busi
positive,awesom
neutral,least get watch time let go pen
neutral,cool wear black time go
positive,thank
positive,safe
positive,wish allow go
neutral,friendster add email add com add
neutral,ticket
positive,thank
neutral,think one one kept comfort yes
positive,love
negative,feel
negative,sad
neutral,hate keep make jump also low health money food worri ill get
neutral,itun lost song
neutral,what gloomi weather sun must tire come play head garden buy haha
negative,look forward
negative,poor
negative,well
positive,prob
neutral,dad watch mtv go
neutral,absolut
neutral,what matter
positive,ador
positive,good
positive,love
negative,pain
negative,sad
positive,nice
positive,wish
neutral,peopl say word
neutral,congrat like matter minut know
neutral,oh yes
negative,miss awesom weather
neutral,today go normal day hope group larg come last night much drink
negative,terribl
negative,suck though
negative,hate fight
neutral,watch want win put good
negative,tast like sore throat
neutral,came cross countri beat
positive,enjoy
neutral,tomorrow lunch go get hair done late got cousin whatev spell
positive,morn tweet
negative,hate
positive,fine
negative,like one
neutral,morn
neutral,neither
neutral,hour work sunday boo find time two hour though yeah
negative,bugger forgot still wash machin
positive,send love bless thought famili peac
negative,realli bad
neutral,ah yes know feel
neutral,night dad
neutral,nope
negative,bore
positive,sound like fun
neutral,big thunder storm almost mayb go home earli ah probabl
positive,great
positive,excit
positive,good morn
positive,best show ever
negative,mess
neutral,think hurt tooth draw draw cooki haha
neutral,want know audit text pleas
negative,secret pleas
negative,miss
neutral,need get comput fix
negative,ill
neutral,cool peopl want find follow today english guess english tweet
neutral,put
positive,total love
positive,help thru time life
negative,sad
neutral,final got call day late
neutral,ok
neutral,babi
negative,sick
neutral,pool parti except know swim get
positive,happi year
neutral,make note case anyon els run issu
negative,vote everi day
negative,diet kill
neutral,talk
negative,bore
positive,fun
neutral,far good sleep hour get bit
neutral,what late either get repli turn
negative,lost voic
negative,hate
neutral,heard fall wait
neutral,nightmar
negative,feel disappoint skill internet
negative,headach
positive,happi
neutral,grab coffe make mom breakfast
positive,go fun
neutral,thank major
positive,thank
neutral,got updat ipod
positive,hahaha
positive,crush
neutral,saw store today head realli
neutral,mean go come back vancouv way hahah
positive,feel smooth
negative,ew traffic
neutral,download song tri lil homework main song lol
neutral,need coffe
neutral,sound like
neutral,bad day day realiz mess put one happiest day life
negative,hate bike
negative,wors tax
positive,jona brother live parti rock hard
positive,happi
positive,love test though
positive,fun night
neutral,except short dude yum
positive,thought wolverin awesom
positive,hope
neutral,yes work
neutral,hmmm mayb that meant someth brand new know media
neutral,done meet late lunch
positive,happi
neutral,alway want go
neutral,thank
positive,love
positive,that need
neutral,okay tweet fact go appl store huge crack glass screen
neutral,could ever actual allow stay
neutral,let know turn
neutral,long back haha
positive,ahaha
neutral,sport bar rest sport bar know whether help googl ho
negative,sleep un
negative,serious
neutral,live pain bring
neutral,okay back later
neutral,challeng keep talk follow
positive,die
neutral,wait get got drive mom pick first time
negative,go well
neutral,go shower want smell school tomorrow
neutral,sigh know
positive,hope
neutral,free twitter get follow
neutral,got home work big bottl appl juic
positive,amaz day
neutral,big done
neutral,good news final finish workout hour bad news resist band
